,grayhole,high_StNum,injection,inverse_replay,masquerade_fake_fault,masquerade_fake_normal,normal,poisoned_high_rate,random_replay,unknown
rule_grayhole_stnum,0,0,203,0,0,0,0,0,0,0
rule_grayhole_sqnum,2561,18976,13512,3989,6448,7150,15123,1603,9657,0
rule_grayhole_timediff,1933,8657,8627,0,10447,1699,12343,18982,7761,0
rule_grayhole_goose_length,0,0,0,0,0,0,0,0,0,0
rule_grayhole_apdu_size,0,0,0,0,0,0,0,0,0,0
rule_grayhole_frame_length,0,0,0,0,0,0,0,0,0,0
rule_grayhole_combined,0,0,0,0,0,0,0,0,0,0
rule_high_StNum_StNum,0,10077,0,0,0,0,0,0,0,0
rule_high_StNum_stDiff,0,18208,0,0,0,2814,0,15,0,0
rule_high_StNum_stDiff_and_StNum,0,9630,0,0,0,0,0,0,0,0
rule_high_StNum_timeFromLastChange,6445,14506,14430,15,4315,20000,12819,0,3436,0
rule_high_StNum_combined,0,7029,0,0,0,0,0,0,0,0
rule_injection_stdiff,1435,1704,15723,13722,10869,2272,8686,718,4837,0
rule_injection_sqdiff,1596,3933,3908,7937,5858,2867,10310,1497,6147,0
rule_injection_timestampdiff,0,0,0,0,0,0,0,0,0,0
rule_injection_tdiff,1905,13241,13276,2116,7861,5631,10772,68,7003,0
rule_injection_timefromlastchange,42,2573,2603,19375,60,0,89,19964,49,0
rule_injection_combined,3319,17172,19317,19792,13758,7323,19594,20000,12095,0
rule_inverse_replay_stnum,0,0,0,0,0,0,0,0,0,0
rule_inverse_replay_sqnum,227,1004,9870,891,1380,0,1592,0,809,0
rule_inverse_replay_tdiff,0,13,10,709,0,0,0,21,0,0
rule_inverse_replay_stdiff_sqdiff,809,847,11793,2441,5915,535,5334,4,2544,0
rule_inverse_replay_combined,0,0,0,0,0,0,0,0,0,0
rule_masquerade_fake_fault_tdiff,4065,18829,18833,17135,14366,6387,25478,2357,15973,0
rule_masquerade_fake_fault_timestampdiff,1933,8657,8627,0,10447,1699,12343,18982,7761,0
rule_masquerade_fake_fault_stdiff,3528,20000,18640,16350,13723,9422,20724,2321,12711,0
rule_masquerade_fake_fault_sqdiff,2786,16130,16196,10159,10099,2867,16664,1497,9851,0
rule_masquerade_fake_fault_combined,4267,20000,19977,17152,17694,10693,27490,20000,17467,0
rule_masquerade_fake_normal_high_stnum,0,20000,0,0,0,10010,0,18002,0,0
rule_masquerade_fake_normal_large_sqdiff,0,0,0,0,0,0,0,0,0,0
rule_masquerade_fake_normal_large_stdiff,1974,19976,8713,4484,6039,7210,10251,1293,6668,0
rule_masquerade_fake_normal_zero_timestampdiff,0,0,0,0,0,1049,0,0,0,0
rule_masquerade_fake_normal_unusual_delay,0,0,0,0,0,0,0,0,0,0
rule_masquerade_fake_normal_combined,16723,20000,8713,4484,6209,12904,16240,18872,6668,0
rule_poisoned_high_rate_stnum,0,0,0,0,0,0,0,17575,0,0
rule_poisoned_high_rate_sqnum,0,0,0,0,0,0,0,0,0,0
rule_poisoned_high_rate_tdiff,0,11638,0,0,0,2256,0,1,0,0
rule_poisoned_high_rate_timefromlastchange,0,455,0,0,0,0,0,18002,0,0
rule_poisoned_high_rate_combined,0,0,0,0,0,0,0,0,0,0
